database,analysis,outcome,analysis_n,propofol_n,dexmedetomidine_n,propofol_weighted_percent,dexmedetomidine_weighted_percent,risk_difference_percent,RD_CI95_low,RD_CI95_high,risk_ratio,RR_CI95_low,RR_CI95_high
eICU-CRD,alternative_bp_source_rule,hourly_repeated_instability_nibp_priority_24h,5641,4472,1169,35.58908100130835,39.32680709329405,3.7377260919856994,-0.6176844409169758,7.87763677118169,1.1050245183866447,0.9826322990641929,1.237942718212417
eICU-CRD,alternative_bp_source_rule,hourly_repeated_instability_any_source_24h,5641,4472,1169,40.09801059486209,44.60480724230471,4.5067966474426235,-0.07415591917924662,8.868547994649735,1.1123945198423408,0.9982301159102316,1.22856958677797
eICU-CRD,alternative_bp_source_rule,hourly_repeated_instability_concordant_source_24h,5641,4472,1169,30.523051754261044,33.56534584277266,3.042294088511616,-1.1533483465821377,7.36384654552357,1.0996720155312423,0.9634445126392133,1.2562487754256235
eICU-CRD,exclude_24h_crossover,hourly_repeated_instability_24h,5199,4106,1093,33.68947441232548,36.80713793658677,3.117663524261288,-1.7155017304172075,8.145449296755253,1.0925411743176578,0.951954624714859,1.2574556489857125
eICU-CRD,exclude_24h_crossover,hourly_repeated_hypotension_24h,5199,4106,1093,31.77720165223452,34.341077848327664,2.5638761960931458,-2.5653962080045734,7.490545742491777,1.0806828815246814,0.9270927405792916,1.2449045061333341
eICU-CRD,exclude_24h_crossover,hourly_repeated_bradycardia_24h,5199,4106,1093,2.9818339950732327,3.219573016590032,0.23773902151679946,-1.2205911183222264,1.8758523646983802,1.0797291270773646,0.6288232547865562,1.750165479980123
eICU-CRD,exclude_24h_crossover,hourly_any_instability_24h,5199,4106,1093,50.861100864644726,58.132089381086104,7.2709885164413794,2.9159873703261674,12.491465319189182,1.1429577494948735,1.056413904433715,1.2578375284141592
eICU-CRD,at_least_20_observed_hour_bins,hourly_repeated_instability_24h,4842,3856,986,37.50665835615257,40.912538992070544,3.405880635917974,-1.3551013323571515,9.128810345390871,1.0908073602179298,0.9655003597139327,1.2597759320044721
eICU-CRD,at_least_20_observed_hour_bins,hourly_repeated_hypotension_24h,4842,3856,986,35.18363267166597,38.018221546932274,2.834588875266303,-1.6185957888227032,8.042035909035611,1.0805655544928723,0.9544495414577165,1.2487360773576457
eICU-CRD,at_least_20_observed_hour_bins,hourly_repeated_bradycardia_24h,4842,3856,986,3.2117010865398004,3.6299016962056694,0.418200609665869,-0.9843093397433677,2.3818902030828673,1.1302115602907576,0.6999861531820498,1.8846816048026556
