database,treatment,diagnostic,n,minimum,p01,p05,median,p95,p99,maximum
eICU-CRD,propofol,ps,4472,1e-06,0.0012728566709577283,0.004848823153775216,0.05289716564524179,0.4650983922069934,0.7789411310525667,0.9755380403153846
eICU-CRD,propofol,overlap_weight,4472,1e-06,0.0012728566709577283,0.004848823153775216,0.05289716564524179,0.4650983922069934,0.7789411310525667,0.9755380403153846
eICU-CRD,propofol,effective_sample_size,4472,,,,1550.3619374949583,,,
eICU-CRD,dexmedetomidine,ps,1169,0.0018930971312420576,0.017454273014298256,0.05073954120490077,0.6022237738965033,0.978261580427208,0.9934817056332884,0.9985537353402966
eICU-CRD,dexmedetomidine,overlap_weight,1169,0.0014462646597034334,0.006518294366711559,0.021738419572791948,0.3977762261034967,0.9492604587950991,0.9825457269857018,0.9981069028687579
eICU-CRD,dexmedetomidine,effective_sample_size,1169,,,,768.8086219801814,,,
MIMIC-IV,propofol,ps,7416,1e-06,1e-06,0.0008623385371997076,0.007735912126857204,0.14051767631754747,0.40414285903439784,0.8179918299447377
MIMIC-IV,propofol,overlap_weight,7416,1e-06,1e-06,0.0008623385371997076,0.007735912126857204,0.14051767631754747,0.40414285903439784,0.8179918299447377
MIMIC-IV,propofol,effective_sample_size,7416,,,,1197.2080863635126,,,
MIMIC-IV,dexmedetomidine,ps,332,0.0006977283989690435,0.0018786127800304792,0.007446760146342774,0.23881044933287904,0.6399597379737105,0.7320046824962371,0.7741028105519285
MIMIC-IV,dexmedetomidine,overlap_weight,332,0.22589718944807147,0.2679953175037629,0.3600402620262894,0.7611895506671209,0.9925532398536572,0.9981213872199695,0.9993022716010309
MIMIC-IV,dexmedetomidine,effective_sample_size,332,,,,303.9698185607252,,,
MIMIC-IV,all,pre_index_RASS_observed_fraction,7748,,,,0.31724315952503873,,,
