database,treatment,variable,eligible_n,missing_n,missing_percent
eICU-CRD,propofol,age,4504,1,0.022202486678507993
eICU-CRD,propofol,female,4504,0,0.0
eICU-CRD,propofol,weight,4504,31,0.6882770870337478
eICU-CRD,propofol,baseline_map,4504,0,0.0
eICU-CRD,propofol,baseline_hr,4504,0,0.0
eICU-CRD,propofol,index_hour,4504,0,0.0
eICU-CRD,propofol,vent,4504,0,0.0
eICU-CRD,propofol,baseline_bp_n,4504,0,0.0
eICU-CRD,propofol,baseline_hr_n,4504,0,0.0
eICU-CRD,propofol,baseline_midazolam,4504,0,0.0
eICU-CRD,propofol,baseline_opioid,4504,0,0.0
eICU-CRD,propofol,baseline_ketamine,4504,0,0.0
eICU-CRD,dexmedetomidine,age,1178,0,0.0
eICU-CRD,dexmedetomidine,female,1178,0,0.0
eICU-CRD,dexmedetomidine,weight,1178,9,0.7640067911714771
eICU-CRD,dexmedetomidine,baseline_map,1178,0,0.0
eICU-CRD,dexmedetomidine,baseline_hr,1178,0,0.0
eICU-CRD,dexmedetomidine,index_hour,1178,0,0.0
eICU-CRD,dexmedetomidine,vent,1178,0,0.0
eICU-CRD,dexmedetomidine,baseline_bp_n,1178,0,0.0
eICU-CRD,dexmedetomidine,baseline_hr_n,1178,0,0.0
eICU-CRD,dexmedetomidine,baseline_midazolam,1178,0,0.0
eICU-CRD,dexmedetomidine,baseline_opioid,1178,0,0.0
eICU-CRD,dexmedetomidine,baseline_ketamine,1178,0,0.0
MIMIC-IV,propofol,age,7510,0,0.0
MIMIC-IV,propofol,female,7510,0,0.0
MIMIC-IV,propofol,weight,7510,73,0.9720372836218375
MIMIC-IV,propofol,baseline_map,7510,21,0.2796271637816245
MIMIC-IV,propofol,baseline_hr,7510,0,0.0
MIMIC-IV,propofol,index_hour,7510,0,0.0
MIMIC-IV,propofol,vent,7510,0,0.0
MIMIC-IV,propofol,baseline_bp_n,7510,0,0.0
MIMIC-IV,propofol,baseline_hr_n,7510,0,0.0
MIMIC-IV,propofol,baseline_midazolam,7510,0,0.0
MIMIC-IV,propofol,baseline_opioid,7510,0,0.0
MIMIC-IV,propofol,baseline_ketamine,7510,0,0.0
MIMIC-IV,dexmedetomidine,age,333,0,0.0
MIMIC-IV,dexmedetomidine,female,333,0,0.0
MIMIC-IV,dexmedetomidine,weight,333,1,0.3003003003003003
MIMIC-IV,dexmedetomidine,baseline_map,333,0,0.0
MIMIC-IV,dexmedetomidine,baseline_hr,333,0,0.0
MIMIC-IV,dexmedetomidine,index_hour,333,0,0.0
MIMIC-IV,dexmedetomidine,vent,333,0,0.0
MIMIC-IV,dexmedetomidine,baseline_bp_n,333,0,0.0
MIMIC-IV,dexmedetomidine,baseline_hr_n,333,0,0.0
MIMIC-IV,dexmedetomidine,baseline_midazolam,333,0,0.0
MIMIC-IV,dexmedetomidine,baseline_opioid,333,0,0.0
MIMIC-IV,dexmedetomidine,baseline_ketamine,333,0,0.0
