database,variable,type,propofol,dexmedetomidine
eICU-CRD,age,continuous,"60.0 [46.0, 72.0]","60.0 [50.0, 72.0]"
eICU-CRD,weight,continuous,"81.6 [68.0, 99.5]","81.6 [68.5, 95.4]"
eICU-CRD,baseline_map,continuous,"88.2 [79.4, 99.8]","87.4 [78.1, 98.8]"
eICU-CRD,baseline_hr,continuous,"88.8 [75.5, 103.7]","87.6 [77.3, 103.4]"
eICU-CRD,index_hour,continuous,"1.4 [0.6, 4.5]","2.5 [1.0, 8.1]"
eICU-CRD,female,categorical,1970 (44.1%),391 (33.4%)
eICU-CRD,vent,categorical,3701 (82.8%),594 (50.8%)
eICU-CRD,baseline_midazolam,categorical,91 (2.0%),17 (1.5%)
eICU-CRD,baseline_opioid,categorical,274 (6.1%),35 (3.0%)
eICU-CRD,baseline_ketamine,categorical,1 (0.0%),0 (0.0%)
MIMIC-IV,age,continuous,"62.0 [49.0, 73.0]","63.0 [49.8, 73.0]"
MIMIC-IV,weight,continuous,"80.0 [68.0, 95.0]","78.2 [67.5, 95.0]"
MIMIC-IV,baseline_map,continuous,"87.0 [78.0, 98.0]","91.8 [82.9, 104.3]"
MIMIC-IV,baseline_hr,continuous,"84.0 [74.0, 97.5]","94.3 [82.1, 108.8]"
MIMIC-IV,index_hour,continuous,"1.5 [0.5, 3.7]","4.6 [2.0, 11.2]"
MIMIC-IV,female,categorical,2908 (39.2%),106 (31.9%)
MIMIC-IV,vent,categorical,5055 (68.2%),74 (22.3%)
MIMIC-IV,baseline_midazolam,categorical,417 (5.6%),36 (10.8%)
MIMIC-IV,baseline_opioid,categorical,794 (10.7%),49 (14.8%)
MIMIC-IV,baseline_ketamine,categorical,16 (0.2%),4 (1.2%)
